Tanggal,Temperatur rata-rata (°C)
6/26/2022,28
6/27/2022,28.8
6/28/2022,28
6/29/2022,28.4
6/30/2022,27.7
7/1/2022,28.7
7/2/2022,29.1
7/3/2022,29.1
7/4/2022,29.5
7/5/2022,29.4
7/6/2022,26.4
7/7/2022,28.6
7/8/2022,28.8
7/9/2022,28.2
7/10/2022,28.2
7/11/2022,28.7
7/12/2022,29.6
7/13/2022,28.6
7/14/2022,29
7/15/2022,29.3
7/16/2022,25.7
7/17/2022,27.9
7/18/2022,28.2
7/19/2022,28.9
7/20/2022,29.6
7/21/2022,28.7
7/22/2022,29.1
7/23/2022,28.9
7/24/2022,28.8
7/25/2022,28.8
7/26/2022,29
7/27/2022,28.9
7/28/2022,29.2
7/29/2022,29.2
7/30/2022,28.8
7/31/2022,28.7
8/1/2022,29
8/2/2022,29.3
8/3/2022,29.7
8/4/2022,28.1
8/5/2022,28
8/6/2022,28.1
8/7/2022,28.1
8/8/2022,28.7
8/9/2022,29.1
8/10/2022,29.6
8/11/2022,29.7
8/12/2022,29.6
8/13/2022,29.3
8/14/2022,29.2
8/15/2022,29
8/16/2022,28.9
8/17/2022,28.6
8/18/2022,29.4
8/19/2022,30
8/20/2022,29.7
8/21/2022,29.3
8/22/2022,27.5
8/23/2022,29.6
8/24/2022,29.1
8/25/2022,29.4
8/26/2022,28.9
8/27/2022,28.6
8/28/2022,28.4
8/29/2022,28.4
8/30/2022,28.5
8/31/2022,29.3
9/1/2022,29.1
9/2/2022,29.3
9/3/2022,28.3
9/4/2022,28.8
9/5/2022,29.4
9/6/2022,30
9/7/2022,27.4
9/8/2022,26.8
9/9/2022,26.4
9/10/2022,26.7
9/11/2022,27.7
9/12/2022,28.1
9/13/2022,28.5
9/14/2022,28.9
9/15/2022,28.6
9/16/2022,29.4
9/17/2022,29.2
9/18/2022,28.9
9/19/2022,29.8
9/20/2022,28.7
9/21/2022,28.5
9/22/2022,27.7
9/23/2022,27.8
9/24/2022,29.3
9/25/2022,29.3
9/26/2022,30
9/27/2022,28.7
9/28/2022,29.6
9/29/2022,29.6
9/30/2022,29
10/1/2022,29.9
10/2/2022,28.2
10/3/2022,28.7
10/4/2022,28.1
10/5/2022,27.4
10/6/2022,27.9
10/7/2022,27.2
10/8/2022,28.1
10/9/2022,27.8
10/10/2022,28
10/11/2022,27.8
10/12/2022,28.3
10/13/2022,27.4
10/14/2022,28.9
10/15/2022,27.8
10/16/2022,27.8
10/17/2022,28.6
10/18/2022,28
10/19/2022,27.5
10/20/2022,28.2
10/21/2022,28.4
10/22/2022,28.7
10/23/2022,28.7
10/24/2022,29.1
10/25/2022,27.4
10/26/2022,27
10/27/2022,28.5
10/28/2022,29.8
10/29/2022,29.2
10/30/2022,29.1
10/31/2022,29.4
11/1/2022,29.3
11/2/2022,29.2
11/3/2022,29.1
11/4/2022,28.9
11/5/2022,28
11/6/2022,27.9
11/7/2022,27.5
11/8/2022,27.5
11/9/2022,28
11/10/2022,27.6
11/11/2022,28
11/12/2022,27.6
11/13/2022,27.2
11/14/2022,28.3
11/15/2022,29
11/16/2022,28.7
11/17/2022,26.1
11/18/2022,28.3
11/19/2022,28.9
11/20/2022,29.5
11/21/2022,29.7
11/22/2022,29.4
11/23/2022,28.8
11/24/2022,28.6
11/25/2022,27.8
11/26/2022,27.2
11/27/2022,27.7
11/28/2022,28.6
11/29/2022,28.6
11/30/2022,28.2
12/1/2022,28.4
12/2/2022,28.1
12/3/2022,28.3
12/4/2022,28.4
12/5/2022,28.6
12/6/2022,27.9
12/7/2022,28.2
12/8/2022,27.8
12/9/2022,27.2
12/10/2022,27.9
12/11/2022,28.9
12/12/2022,28
12/13/2022,28.5
12/14/2022,28.1
12/15/2022,30.3
12/16/2022,28.4
12/17/2022,28.3
12/18/2022,28.3
12/19/2022,28.6
12/20/2022,28.3
12/21/2022,28.5
12/22/2022,28.4
12/23/2022,27.2
12/24/2022,27.4
12/25/2022,26.4
12/26/2022,26.6
12/27/2022,26.3
12/28/2022,25.9
12/29/2022,26.2
12/30/2022,26.3
12/31/2022,26.2
1/1/2023,26.3
1/2/2023,27.5
1/3/2023,26.6
1/4/2023,26.4
1/5/2023,27.4
1/6/2023,29.6
1/7/2023,29.6
1/8/2023,28.1
1/9/2023,29
1/10/2023,30.1
1/11/2023,28.8
1/12/2023,29.1
1/13/2023,29.2
1/14/2023,29.2
1/15/2023,29.8
1/16/2023,28.9
1/17/2023,27.6
1/18/2023,27.7
1/19/2023,27.5
1/20/2023,28.6
1/21/2023,28.6
1/22/2023,29.2
1/23/2023,28.6
1/24/2023,29.1
1/25/2023,27.2
1/26/2023,27.8
1/27/2023,27.6
1/28/2023,25.6
1/29/2023,26.7
1/30/2023,28
1/31/2023,27.8
2/1/2023,27
2/2/2023,27.2
2/3/2023,26.7
2/4/2023,27.7
2/5/2023,28.4
2/6/2023,29.2
2/7/2023,27.8
2/8/2023,27.1
2/9/2023,27.4
2/10/2023,27.9
2/11/2023,27.5
2/12/2023,25
2/13/2023,27.6
2/14/2023,27.3
2/15/2023,28.1
2/16/2023,27.1
2/17/2023,27
2/18/2023,27.6
2/19/2023,27.5
2/20/2023,27.5
2/21/2023,28
2/22/2023,27.3
2/23/2023,26.9
2/24/2023,25.8
2/25/2023,27
2/26/2023,26.7
2/27/2023,27.1
2/28/2023,27
3/1/2023,26.7
3/2/2023,25.1
3/3/2023,27
3/4/2023,26.8
3/5/2023,26.6
3/6/2023,28.3
3/7/2023,27.7
3/8/2023,26.5
3/9/2023,27.1
3/10/2023,27.8
3/11/2023,28.5
3/12/2023,28.4
3/13/2023,28.4
3/14/2023,27.2
3/15/2023,25.5
3/16/2023,27.4
3/17/2023,28.6
3/18/2023,28.3
3/19/2023,28.7
3/20/2023,28.7
3/21/2023,29.2
3/22/2023,29.1
3/23/2023,29.3
3/24/2023,29.3
3/25/2023,27.9
3/26/2023,26.8
3/27/2023,27.4
3/28/2023,27.3
3/29/2023,27.5
3/30/2023,26.3
3/31/2023,28.8
4/1/2023,28.1
4/2/2023,28.8
4/3/2023,28.1
4/4/2023,28.7
4/5/2023,29
4/6/2023,30.3
4/7/2023,28.7
4/8/2023,28.9
4/9/2023,28.5
4/10/2023,29.1
4/11/2023,28.9
4/12/2023,29.6
4/13/2023,29.4
4/14/2023,28.3
4/15/2023,28.3
4/16/2023,28.9
4/17/2023,29.3
4/18/2023,29.1
4/19/2023,29.7
4/20/2023,28.9
4/21/2023,29.2
4/22/2023,29.6
4/23/2023,29.8
4/24/2023,29.5
4/25/2023,28.5
4/26/2023,28.7
4/27/2023,29.6
4/28/2023,29.4
4/29/2023,28.6
4/30/2023,29.6
5/1/2023,28.8
5/2/2023,29
5/3/2023,29.8
5/4/2023,29.4
5/5/2023,29.2
5/6/2023,28.8
5/7/2023,28.5
5/8/2023,28.7
5/9/2023,30.4
5/10/2023,30.3
5/11/2023,29.2
5/12/2023,30.8
5/13/2023,29
5/14/2023,29.5
5/15/2023,28.7
5/16/2023,29.7
5/17/2023,29.6
5/18/2023,29.2
5/19/2023,29.6
5/20/2023,29.4
5/21/2023,29.6
5/22/2023,29.1
5/23/2023,29.3
5/24/2023,29.4
5/25/2023,29.4
5/26/2023,30.1
5/27/2023,29.5
5/28/2023,28.7
5/29/2023,29.9
5/30/2023,29.6
5/31/2023,29.8
6/1/2023,29.3
6/2/2023,29.9
6/3/2023,30.2
6/4/2023,29.5
6/5/2023,29.6
6/6/2023,27.8
6/7/2023,29.8
6/8/2023,29.9
6/9/2023,29.2
6/10/2023,29.5
6/11/2023,29.1
6/12/2023,30.1
6/13/2023,30.1
6/14/2023,29.7
6/15/2023,29.5
6/16/2023,26.2
6/17/2023,27.9
6/18/2023,28.7
6/19/2023,27.4
6/20/2023,28.6
6/21/2023,29.5
6/22/2023,29.2
6/23/2023,29.4
6/24/2023,28.6
6/25/2023,28.7
6/26/2023,28.5
6/27/2023,28.8
6/28/2023,29.1
6/29/2023,28.7
6/30/2023,29.1
7/1/2023,29.2
7/2/2023,29.3
7/3/2023,29.1
7/4/2023,28.7
7/5/2023,29.3
7/6/2023,27.8
7/7/2023,28.2
7/8/2023,28.1
7/9/2023,28.5
7/10/2023,29.3
7/11/2023,29.1
7/12/2023,29.1
7/13/2023,28.9
7/14/2023,29
7/15/2023,28.9
7/16/2023,28.9
7/17/2023,29.3
7/18/2023,28.8
7/19/2023,29.5
7/20/2023,27.9
7/21/2023,28.8
7/22/2023,29.1
7/23/2023,29
7/24/2023,28.8
7/25/2023,28
7/26/2023,28
7/27/2023,29
7/28/2023,28.9
7/29/2023,28.6
7/30/2023,28.5
7/31/2023,28.2
8/1/2023,28.7
8/2/2023,29.4
8/3/2023,29.4
8/4/2023,29.6
8/5/2023,29.4
8/6/2023,28.8
8/7/2023,28.8
8/8/2023,29
8/9/2023,28.7
8/10/2023,28.3
8/11/2023,28.6
8/12/2023,28.8
8/13/2023,28.2
8/14/2023,28.4
8/15/2023,28.4
8/16/2023,28.8
8/17/2023,28.2
8/18/2023,28.2
8/19/2023,28.9
8/20/2023,29.4
8/21/2023,29.2
8/22/2023,28.8
8/23/2023,29
8/24/2023,29.2
8/25/2023,28.8
8/26/2023,29.1
8/27/2023,29
8/28/2023,28.7
8/29/2023,28.7
8/30/2023,28.5
8/31/2023,28.2
9/1/2023,28
9/2/2023,28.5
9/3/2023,28.9
9/4/2023,28.3
9/5/2023,28.4
9/6/2023,28.7
9/7/2023,28.7
9/8/2023,29
9/9/2023,29.3
9/10/2023,28.4
9/11/2023,29.1
9/12/2023,29.6
9/13/2023,29.5
9/14/2023,29.2
9/15/2023,29.5
9/16/2023,29.3
9/17/2023,29.1
9/18/2023,29
9/19/2023,29.7
9/20/2023,28.9
9/21/2023,29.3
9/22/2023,28.8
9/23/2023,28.9
9/24/2023,28.7
9/25/2023,29.3
9/26/2023,29.5
9/27/2023,29.8
9/28/2023,30
9/29/2023,30.4
9/30/2023,29.1
10/1/2023,28.9
10/2/2023,29.2
10/3/2023,29.2
10/4/2023,29
10/5/2023,29.8
10/6/2023,29.3
10/7/2023,29.6
10/8/2023,29.7
10/9/2023,30.1
10/10/2023,30.7
10/11/2023,30.1
10/12/2023,30.2
10/13/2023,30.1
10/14/2023,30.3
10/15/2023,30.8
10/16/2023,30.1
10/17/2023,31.8
10/18/2023,30.3
10/19/2023,30.7
10/20/2023,29.9
10/21/2023,30.2
10/22/2023,30.4
10/23/2023,28.7
10/24/2023,29.4
10/25/2023,29.5
10/26/2023,30.1
10/27/2023,30.1
10/28/2023,30.3
10/29/2023,29.8
10/30/2023,30.7
10/31/2023,29.8
11/1/2023,29.8
11/2/2023,30.3
11/3/2023,30.2
11/4/2023,28.2
11/5/2023,28.7
11/6/2023,30.1
11/7/2023,30.4
11/8/2023,30.4
11/9/2023,30
11/10/2023,29.2
11/11/2023,29.3
11/12/2023,30.1
11/13/2023,31.2
11/14/2023,29.7
11/15/2023,29.6
11/16/2023,29.7
11/17/2023,29.8
11/18/2023,29.2
11/19/2023,29.6
11/20/2023,30.4
11/21/2023,30.2
11/22/2023,30
11/23/2023,29.2
11/24/2023,28.6
11/25/2023,26.1
11/26/2023,29.1
11/27/2023,28.2
11/28/2023,29.5
11/29/2023,29.8
11/30/2023,28.3
12/1/2023,26.9
12/2/2023,29.4
12/3/2023,28.6
12/4/2023,26.7
12/5/2023,29.4
12/6/2023,29.4
12/7/2023,29.2
12/8/2023,29.4
12/9/2023,29.1
12/10/2023,29.2
12/11/2023,30
12/12/2023,29.7
12/13/2023,30.1
12/14/2023,30.6
12/15/2023,30.4
12/16/2023,30.3
12/17/2023,30.6
12/18/2023,30.7
12/19/2023,30.3
12/20/2023,30.3
12/21/2023,29.9
12/22/2023,30.1
12/23/2023,31
12/24/2023,30.6
12/25/2023,28.3
12/26/2023,28.4
12/27/2023,28.7
12/28/2023,29.9
12/29/2023,29.3
12/30/2023,29.2
12/31/2023,28.3
1/1/2024,29.6
1/2/2024,29.7
1/3/2024,28
1/4/2024,27.1
1/5/2024,28.1
1/6/2024,27.8
1/7/2024,28.1
1/8/2024,28.3
1/9/2024,29.2
1/10/2024,29.2
1/11/2024,27.3
1/12/2024,28.6
1/13/2024,28.4
1/14/2024,29.5
1/15/2024,29.4
1/16/2024,30.2
1/17/2024,28.4
1/18/2024,28.2
1/19/2024,26.4
1/20/2024,30.5
1/21/2024,28.8
1/22/2024,30.4
1/23/2024,30.1
1/24/2024,30.2
1/25/2024,30.1
1/26/2024,29.1
1/27/2024,26.3
1/28/2024,27.4
1/29/2024,27.2
1/30/2024,26.9
1/31/2024,27.9
2/1/2024,27.8
2/2/2024,28.2
2/3/2024,28.1
2/4/2024,28
2/5/2024,27.9
2/6/2024,26.4
2/7/2024,28.9
2/8/2024,29.3
2/9/2024,29
2/10/2024,28.6
2/11/2024,28.8
2/12/2024,28.6
2/13/2024,28.6
2/14/2024,27.6
2/15/2024,28.5
2/16/2024,28.1
2/17/2024,28.3
2/18/2024,28.6
2/19/2024,29.5
2/20/2024,29.8
2/21/2024,29.5
2/22/2024,30.6
2/23/2024,30.3
2/24/2024,28.9
2/25/2024,28.4
2/26/2024,28.7
2/27/2024,29.1
2/28/2024,27.6
2/29/2024,26.1
3/1/2024,29.1
3/2/2024,27.7
3/3/2024,27.7
3/4/2024,29.2
3/5/2024,30.2
3/6/2024,29.6
3/7/2024,29.7
3/8/2024,29.2
3/9/2024,25.4
3/10/2024,27.9
3/11/2024,27.9
3/12/2024,28.8
3/13/2024,28.2
3/14/2024,27.2
3/15/2024,27.4
3/16/2024,26
3/17/2024,27
3/18/2024,29
3/19/2024,30.2
3/20/2024,30.4
3/21/2024,29
3/22/2024,26.4
3/23/2024,29.8
3/24/2024,29.9
3/25/2024,29.2
3/26/2024,30.2
3/27/2024,28.3
3/28/2024,29.3
3/29/2024,29.8
3/30/2024,29.7
3/31/2024,28.9
4/1/2024,29.2
4/2/2024,29.5
4/3/2024,28.3
4/4/2024,30.2
4/5/2024,29.6
4/6/2024,29.2
4/7/2024,30.1
4/8/2024,30
4/9/2024,28.6
4/10/2024,28.7
4/11/2024,29
4/12/2024,27.7
4/13/2024,29.5
4/14/2024,28.9
4/15/2024,30.1
4/16/2024,30.9
4/17/2024,28.8
4/18/2024,29.6
4/19/2024,29.5
4/20/2024,30.1
4/21/2024,29.6
4/22/2024,30.9
4/23/2024,29.8
4/24/2024,30
4/25/2024,29
4/26/2024,30.2
4/27/2024,29.5
4/28/2024,30.2
4/29/2024,31.3
4/30/2024,31
